iter	Passed	Remaining
0	10	20418
1	18	18743
2	27	18095
3	36	18116
4	44	17850
5	54	17947
6	63	18019
7	71	17881
8	80	17835
9	89	17808
10	98	17860
11	108	18026
12	118	18082
13	126	18010
14	136	18032
15	145	18064
16	154	17998
17	162	17922
18	171	17893
19	179	17796
20	188	17790
21	196	17708
22	205	17676
23	213	17589
24	222	17561
25	230	17531
26	240	17542
27	248	17494
28	256	17451
29	265	17463
30	275	17468
31	283	17445
32	292	17444
33	301	17453
34	308	17331
35	318	17356
36	326	17316
37	335	17319
38	344	17336
39	354	17354
40	363	17357
41	372	17350
42	380	17330
43	389	17327
44	396	17233
45	404	17189
46	413	17173
47	422	17183
48	430	17125
49	438	17106
50	447	17108
51	456	17098
52	464	17071
53	473	17067
54	482	17048
55	491	17063
56	500	17061
57	509	17064
58	518	17045
59	526	17033
60	535	17034
61	545	17041
62	553	17030
63	562	17022
64	571	17003
65	580	17011
66	589	17019
67	598	16997
68	606	16976
69	616	16985
70	625	16986
71	633	16975
72	642	16971
73	652	16976
74	660	16960
75	670	16966
76	679	16962
77	688	16960
78	697	16949
79	705	16941
80	714	16927
81	723	16922
82	732	16915
83	740	16899
84	750	16902
85	759	16900
86	767	16880
87	776	16880
88	785	16872
89	794	16866
90	804	16866
91	812	16859
92	821	16847
93	830	16837
94	839	16827
95	848	16826
96	857	16827
97	866	16817
98	875	16809
99	884	16799
100	893	16796
101	902	16793
102	910	16773
103	919	16766
104	928	16757
105	937	16745
106	946	16739
107	955	16737
108	963	16723
109	972	16713
110	981	16704
111	990	16696
112	999	16691
113	1008	16690
114	1017	16682
115	1026	16677
116	1035	16660
117	1044	16652
118	1052	16642
119	1061	16631
120	1070	16618
121	1079	16609
122	1088	16604
123	1095	16574
124	1106	16590
125	1114	16582
126	1124	16577
127	1132	16567
128	1141	16558
129	1150	16548
130	1159	16543
131	1168	16534
132	1176	16522
133	1185	16512
134	1195	16508
135	1203	16498
136	1212	16488
137	1221	16483
138	1230	16475
139	1239	16470
140	1248	16463
141	1257	16455
142	1266	16449
143	1275	16442
144	1284	16438
145	1293	16429
146	1302	16420
147	1311	16405
148	1320	16399
149	1329	16397
150	1338	16391
151	1347	16382
152	1356	16374
153	1365	16366
154	1374	16359
155	1383	16350
156	1392	16341
157	1400	16333
158	1408	16310
159	1417	16304
160	1426	16292
161	1434	16279
162	1443	16268
163	1452	16263
164	1461	16254
165	1470	16246
166	1479	16241
167	1488	16233
168	1497	16223
