,Depression
3429,1
57741,0
83234,0
136573,0
93261,1
71350,1
133876,0
106580,0
90468,0
48581,0
56163,0
104420,0
124379,0
101377,0
56880,0
46843,0
29496,0
12303,0
103717,0
45835,0
102897,0
90595,0
58835,0
95058,0
125499,0
48578,0
6705,0
131165,0
102203,0
30761,0
21917,0
19378,0
104733,0
53045,0
121628,0
10569,1
87935,0
113815,0
98248,0
92383,0
129507,1
112945,0
70734,0
65715,0
40482,0
72005,0
40057,0
57667,0
34985,0
90878,0
8341,0
4570,0
97276,0
61764,0
127583,0
2696,1
33709,0
4473,0
1056,0
100533,0
36512,0
31217,0
48393,0
59734,0
115852,0
30637,0
47111,0
117705,0
95791,0
18355,0
3935,0
113438,1
132293,0
127297,0
85381,0
133978,0
5298,0
27504,0
119869,1
19127,0
9232,0
6395,0
56302,0
26717,0
124069,0
7072,0
65414,0
36601,1
114569,1
62970,0
70047,0
109567,0
125423,0
122173,0
59784,0
133345,0
121457,0
94591,1
18089,0
134189,0
72090,1
31694,0
95864,1
15944,0
52766,0
28593,0
106662,0
137754,0
35601,0
86241,0
19690,0
115696,1
55526,1
111037,0
137839,0
127969,0
124269,1
91473,0
62899,0
137819,0
24907,0
82073,0
63152,0
69832,0
137269,0
9732,0
121471,1
4310,0
135063,0
96482,1
42112,0
33501,0
19922,1
29206,0
49647,0
13835,0
122563,0
56884,0
119821,0
133781,1
6316,0
12526,1
47977,0
41065,1
109150,0
24366,0
118725,0
107533,0
95026,0
131308,0
95664,0
75204,1
77457,0
55707,0
23285,0
90863,0
76707,0
22876,1
89229,0
105920,0
35769,1
117284,1
91589,0
127936,0
78908,0
97096,0
81842,0
71105,0
45979,0
56087,0
51731,0
21467,0
73308,0
53546,0
129527,0
52457,0
62025,0
11827,0
79567,0
133118,0
91182,0
12848,0
6873,0
104111,0
39788,0
134737,1
88201,0
122488,0
93249,0
125584,0
20586,0
41522,0
38310,0
112643,0
121797,0
47119,1
86163,1
71436,1
130631,0
22935,0
65992,1
139958,0
40938,0
50414,1
126137,1
127264,0
28192,0
15060,0
50302,0
110885,0
104427,0
92212,0
40036,0
24583,0
31130,0
95606,0
122160,0
51303,1
110411,0
64556,0
96345,0
104129,0
56353,1
108106,0
84631,0
85220,1
33230,0
3355,0
112756,1
105892,0
7143,0
66553,0
60125,1
133967,0
111078,0
9538,0
22254,0
51753,0
65862,0
58947,0
140151,1
68855,1
17535,1
27708,0
23016,0
118041,0
34238,0
42479,0
73812,0
250,0
75932,0
33731,0
113579,0
124877,0
140269,0
111646,1
87895,1
56347,0
64205,0
132260,0
28484,0
105031,0
135849,0
133123,0
96860,0
104957,0
47263,1
100982,1
76638,0
79087,0
137052,0
48221,0
50138,0
102862,0
73059,0
92596,0
83352,0
73642,0
84121,0
47678,0
85212,0
42686,0
42921,0
50930,0
119792,0
67793,0
94126,0
28941,0
26799,1
16316,0
131697,1
123334,0
83820,0
35020,0
78075,0
70386,0
117353,0
25061,0
7373,0
48033,0
57773,0
90276,0
52396,1
2769,0
74630,1
6631,0
109105,0
83181,0
91331,0
81242,0
2533,0
71062,0
47782,0
120295,1
118918,0
397,0
10347,0
5496,0
62351,0
62372,0
132723,0
85746,0
68300,0
78415,0
100813,0
106678,1
30602,1
127917,0
20911,0
63440,1
115240,0
47546,0
91563,0
28370,0
1571,0
170,0
87566,0
25297,0
9540,0
126974,0
129352,0
